Wavelength (um),516.31,455.08,555.27,485.54,490.52,525.41,521.58,473.12,580.25,546.35,581.62,539.29,530.93,653.14,503.23,495.85,601.35,620.7,479.63,533.8,412.94,463.08,529.34,526.62,671.35,480.72,617.15,482.49,569.38,602.87,543.95,530.42,525.22,475.51,459.39,492.33,475.89,399.67,488.03,419.66,500.44,589.11,564.67,783.23,530.04,595.59,596.87,433.54,584.92,586.42
Mean Amplitude (um),69.89,79.72,94.64,82.61,70.9,56.99,72.9,83.9,49.05,79.85,30.46,134.32,61.26,100.97,68.03,47.91,71.69,38.72,37.07,68.86,,61.69,39.27,65.19,69.43,39.12,58.11,75.67,69.38,80.12,92.81,68.78,82.5,60.92,54.83,60.9,42.43,123.61,21.28,43.82,58.02,87.8,83.32,65.71,66.84,50.45,65.53,,85.04,81.9
Max Amplitude (um),135.73,135.11,158.82,158.82,156.78,131.81,146.66,155.43,127.5,177.6,74.66,199.27,148.24,179.23,118.66,118.97,131.68,71.63,62.07,134.78,175.76,105.07,122.77,110.03,102.64,107.3,118.77,142.49,148.35,136.92,171.56,156.74,121.02,117.04,101.39,95.03,87.33,161.26,55.52,78.14,109.4,161.11,144,136.05,99.9,95.63,100.87,177.01,115.97,144.1
Turn Count,4,3,3,4,6,4,4,6,2,4,,2,4,3,2,2,3,3,2,2,1,2,6,5,1,1,3,1,5,4,2,4,2,5,2,1,4,1,5,4,4,2,2,2,1,1,2,1,1,1
Distance Travelled Forward (um),2591.34,3029.55,2235.64,3039.78,3348.94,2247.88,3494.26,917.22,2773.66,3489.1,3773.02,2292.5,3200.55,1704.68,2842.48,2707.09,1445.46,1818.74,1355.09,1159.46,1781.7,1052.93,2062.93,2178.38,1133.81,945.65,2508.61,1468.05,2447.91,688.32,948.35,1722.74,1336.13,1387.5,2474.42,1625.87,1547.77,1338.87,2255.33,1800.03,1565.96,2255.13,1043.43,1644.63,928.71,1610.89,1483.42,1474.6,1114.78,2028.21
Distance Travelled Reverse (um),1394.17,2170.2,1215.27,1680.51,1667.28,982.1,1764.2,2567.35,2923.54,2989.97,3525.73,2989.81,2840.4,1212.92,2602.88,2990.99,2006.17,2111.93,1522.54,1458.05,1949.66,796.36,1652.96,1887.04,1052.98,757.36,2714.03,1147.08,1390.26,1803.93,1412.32,1147.92,1993.35,2326.04,1639.08,2001.18,2318.41,1783.59,2008.29,1361.31,2388.46,1934.15,1167.3,2059.15,776.41,1296.05,1932.93,1558.2,1064.9,1503.73
Cumulative forward time (s),9.9,9.78,9.93,10.08,9.55,9.67,10.08,0.95,9.1,9.95,8.38,6.07,9.36,10.03,8.82,8.04,3.81,5.86,7.49,6.45,6.78,6.22,7.91,6.06,7.84,8.28,7.78,7.75,9.73,0.68,3.82,9.94,2.96,2.22,9.96,5.65,3.33,5.11,8.28,8.36,3.24,8.39,5.53,5.79,8.78,9.24,4.64,8.07,8.3,9.35
Number of pirouettes ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirouette tune (s),0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mobility reversal time (s),1.24,2.85,1.43,1.43,1.2,0.82,1.37,9.78,5.84,4.2,5.9,6.61,4.62,2.68,4.88,5.45,7.59,6.08,4.98,5.06,4.35,4.68,3.51,5.87,5.17,3.66,5,3.44,2.07,9.59,7.45,2.89,8.33,7.97,1.47,6.74,7.42,6.14,3.96,2.36,7.71,3.68,5.07,6.36,4.34,4.23,6.88,4.77,4.45,3.48
Mobility idle time (s),0,0,0,0,0.18,0,0,0.12,0,0.14,0,0,0,0,0.17,0.15,0.14,0,0.14,0.14,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.09,0,0,0.26,0,0,0,0,0.17,0,0.22,0,0.18,0.17,0
Mobility forward time (s),8.85,7.23,8.65,8.65,8.69,9.26,8.71,0.18,5.11,6.61,5.05,4.34,6.33,8.27,5.9,5.34,2.27,3.92,4.87,4.79,5.65,5.32,6.49,4.13,4.92,6.34,5.1,6.66,8.03,0.5,2.65,7.21,1.64,1.99,8.5,3.13,2.55,3.83,5.74,7.6,2.25,6.33,4.94,3.48,5.67,5.56,3.13,5.05,5.39,6.53
